T_K,f_Na_over_ground,f_K_over_ground,f_Li_over_ground
1500.0,1.7000397483443707e-07,7.3751255810191254e-06,1.2373483823632985e-06
1509.2436974789916,1.878297386099588e-07,7.962448348850904e-06,1.3505714402520122e-06
1518.4873949579833,2.0727283913112399e-07,8.588527107102639e-06,1.4725843205652882e-06
1527.7310924369747,2.2845610715395537e-07,9.255352447979773e-06,1.603940409988651e-06
1536.9747899159663,2.515097480910789e-07,9.9649842778699e-06,1.7452190092840898e-06
1546.218487394958,2.7657165145409267e-07,1.0719552736640558e-05,1.8970260463081542e-06
1555.4621848739496,3.0378770597886916e-07,1.1521259077962417e-05,2.0599947869281415e-06
1564.7058823529412,3.3331212022240303e-07,1.2372376509637628e-05,2.2347865430303583e-06
1573.9495798319329,3.6530774840903265e-07,1.3275250992985018e-05,2.4220913768191953e-06
1583.1932773109243,3.9994642129356883e-07,1.4232302000405068e-05,2.6226288006118453e-06
1592.436974789916,4.3740928179901193e-07,1.5246023230319514e-05,2.837148471341237e-06
1601.6806722689075,4.778871251771815e-07,1.63189832787517e-05,3.0664308789887208e-06
1610.9243697478992,5.215807434317824e-07,1.745382626688534e-05,3.3112880281787694e-06
1620.1680672268908,5.687012737351026e-07,1.865327242401031e-05,3.5725641121795813e-06
1629.4117647058824,6.19470550561771e-07,1.992011862533402e-05,3.851136178566464e-06
1638.6554621848738,6.741214612557952e-07,2.125723888420638e-05,4.147914785819383e-06
1647.8991596638655,7.328983047404427e-07,2.2667584798376054e-05,4.463844650141246e-06
1657.142857142857,7.960571530744143e-07,2.4154185949961256e-05,4.799905281799795e-06
1666.3865546218487,8.638662155522571e-07,2.572015025888742e-05,5.1571116103138415e-06
1675.6302521008404,9.366062050419795e-07,2.7368664289607316e-05,5.536514597822422e-06
1684.8739495798318,1.0145707062485002e-06,2.910299351098411e-05,5.939201839994988e-06
1694.1176470588234,1.0980665455876897e-06,3.09264825092801e-05,6.366298153860753e-06
1703.361344537815,1.1874141623525776e-06,3.284255515425475e-05,6.818966151955702e-06
1712.6050420168067,1.2829479808506214e-06,3.48547147184359e-05,7.298406802207651e-06
1721.8487394957983,1.3850167831888135e-06,3.696654394968398e-05,7.805859973001497e-06
1731.09243697479,1.4939840823818624e-06,3.918170509722694e-05,8.342604962889078e-06
1740.3361344537816,1.6102284954576976e-06,4.150393989139721e-05,8.909961014431618e-06
1749.579831932773,1.7341441162340746e-06,4.3937069477353066e-05,9.509287811685551e-06
1758.8235294117646,1.8661408874401365e-06,4.6484994303120874e-05,1.0141985960866714e-05
