species,nist_id,dfH298_kJ_mol,T_lo_K,T_hi_K,A,B,C,D,E,F,G,H_dfH
CH4,C74828,-74.8731,298.0,1300.0,-0.703029,108.4773,-42.52157,5.862788,0.678565,-76.84376,158.7163,-74.8731
CH4,C74828,-74.8731,1300.0,6000.0,85.81217,11.26467,-2.114146,0.13819,-26.42221,-153.5327,224.4143,-74.8731
CO2,C124389,-393.5224,298.0,1200.0,24.99735,55.18696,-33.69137,7.948387,-0.136638,-403.6075,228.2431,-393.5224
CO2,C124389,-393.5224,1200.0,6000.0,58.16639,2.720074,-0.492289,0.038844,-6.447293,-425.9186,263.6125,-393.5224
H2O,C7732185,-241.8264,500.0,1700.0,30.092,6.832514,6.793435,-2.53448,0.082139,-250.881,223.3967,-241.8264
H2O,C7732185,-241.8264,1700.0,6000.0,41.96426,8.622053,-1.49978,0.098119,-11.15764,-272.1797,219.7809,-241.8264
N2,C7727379,0.0,100.0,500.0,28.98641,1.853978,-9.647459,16.63537,0.000117,-8.671914,226.4168,0.0
N2,C7727379,0.0,500.0,2000.0,19.50583,19.88705,-8.598535,1.369784,0.527601,-4.935202,212.39,0.0
N2,C7727379,0.0,2000.0,6000.0,35.51872,1.128728,-0.196103,0.014662,-4.55376,-18.97091,224.981,0.0
O2,C7782447,0.0,100.0,700.0,31.32234,-20.23531,57.86644,-36.50624,-0.007374,-8.903471,246.7945,0.0
O2,C7782447,0.0,700.0,2000.0,30.03235,8.772972,-3.988133,0.788313,-0.741599,-11.32468,236.1663,0.0
O2,C7782447,0.0,2000.0,6000.0,20.91111,10.72071,-2.020498,0.146449,9.245722,5.337651,237.6185,0.0
